make,model,city,price,year,km,type,cc,mode
Toyota,Aqua,Karachi,33,2018,"21,000",Petrol,1500,Automatic
Toyota,Land,Karachi,2.85,2016,"22,000",Petrol,4608,Automatic
Toyota,Hilux,Karachi,85,2021,50,Diesel,2800,Automatic
Toyota,Land,Karachi,3.1,2016,"90,000",Petrol,4608,Automatic
Toyota,Corolla,Karachi,20.75,2004,"185,000",Petrol,1300,Automatic
Toyota,Corolla,Karachi,29.75,2017,"34,000",Petrol,1600,Automatic
Toyota,Corolla,Karachi,17,2009,"179,000",Petrol,1800,Automatic
Toyota,Prado,Karachi,2.05,2017,"21,000",Petrol,2700,Automatic
Toyota,Hilux,Karachi,84.75,2021,1,Diesel,2800,Automatic
Toyota,Yaris,Karachi,,2021,1,Hybrid,1500,Automatic
Toyota,Fortuner,Karachi,1.01,2021,1,Petrol,2700,Automatic
Toyota,Prado,Karachi,1.65,2015,"53,000",Petrol,2700,Automatic
Toyota,Fortuner,Karachi,1.08,2021,1,Diesel,2800,Automatic
Toyota,Vitz,Karachi,27.5,2018,"66,134",Petrol,1000,Automatic
Toyota,Corolla,Karachi,31,2018,"46,000",Petrol,1300,Automatic
Toyota,Aqua,Karachi,21.75,2013,"118,038",Hybrid,1500,Automatic
Toyota,Aqua,Karachi,36.5,2017,"67,740",Hybrid,1500,Automatic
Toyota,Vitz,Karachi,19.75,2013,"72,000",Petrol,1000,Automatic
Toyota,Aqua,Karachi,32,2018,"16,000",Hybrid,1500,Automatic
Toyota,Fortuner,Karachi,54,2013,"69,000",Petrol,2700,Automatic
Toyota,Land,Rawalpindi,,2018,"5,000",Petrol,4600,Automatic
Toyota,Land,Rawalpindi,,2013,"124,000",Petrol,4600,Automatic
Toyota,Corolla,Lahore,39.5,2019,"37,570",Petrol,1800,Automatic
Toyota,Corolla,Rawalpindi,15.5,2009,"177,000",Petrol,1300,Manual
Toyota,Corolla,Multan,43,2021,50,Petrol,1800,Automatic
Toyota,Corolla,Faisalabad,38.5,2021,"7,500",Petrol,1600,Automatic
Toyota,Corolla,Islamabad,21.6,2014,"50,000",Petrol,1300,Manual
Toyota,Prius,Faisalabad,41.3,2014,"73,500",Petrol,1800,Automatic
Toyota,Prius,Faisalabad,50,2018,"139,855",Petrol,1800,Automatic
Toyota,Aqua,Lahore,25,2014,"66,000",Petrol,1500,Automatic
Toyota,Aqua,Lahore,32,2017,"46,000",Hybrid,1500,Automatic
Toyota,Vitz,Islamabad,23.25,2015,"42,000",Petrol,1000,Automatic
Toyota,Corolla,Karachi,31.5,2018,"10,000",Petrol,1300,Manual
Toyota,Vitz,Mardan,15.8,2007,"200,000",Petrol,1300,Automatic
Toyota,Passo,Islamabad,19,2014,"117,000",Petrol,1000,Automatic
Toyota,Corolla,Rawalpindi,8.9,1999,"185,000",Diesel,2000,Manual
Toyota,Corolla,Karachi,37.75,2018,"47,000",Petrol,1800,Automatic
Toyota,Fortuner,Karachi,1.07,2021,42,Diesel,2800,Automatic
Toyota,Corolla,Karachi,29.5,2020,"15,000",Petrol,1300,Manual
Toyota,Hilux,Karachi,70.9,2020,"16,000",Diesel,2800,Automatic
Toyota,Hilux,Karachi,73.35,2021,"9,000",Diesel,2800,Automatic
Toyota,Mark,Karachi,29.5,2005,"78,000",Petrol,2500,Automatic
Toyota,Hilux,Karachi,68.75,2018,"30,000",Diesel,2800,Automatic
Toyota,Corolla,Karachi,37.75,2018,"32,000",Petrol,1800,Automatic
Toyota,Corolla,Karachi,30,2018,"23,000",Petrol,1300,Automatic
Toyota,Aqua,Lahore,2.45,2019,23,Hybrid,1500,Automatic
Toyota,Yaris,Karachi,29.75,2020,"15,000",Petrol,1500,Automatic
Toyota,Aqua,Peshawar,34.5,2018,"43,000",Hybrid,1500,Automatic
Toyota,Prius,Vehari,18.75,2005,"169,000",Petrol,1500,Automatic
Toyota,Corolla,Rawalpindi,29,2015,"72,000",Petrol,1800,Automatic
Toyota,C,Peshawar,60,2018,"19,000",Hybrid,1800,Automatic
Toyota,Corolla,Islamabad,14.5,2002,"340,000",Diesel,2000,Manual
Toyota,Corolla,Layyah,26,2016,"68,000",Petrol,1300,Manual
Toyota,Corolla,Swabi,18,2012,"190,000",Petrol,1300,Manual
Toyota,Corolla,Islamabad,35.75,2017,"65,000",Petrol,1800,Automatic
Toyota,Aqua,Gujranwala,20.95,2013,"76,280",Hybrid,1500,Automatic
Toyota,Corolla,Karachi,27,2017,"72,000",Petrol,1300,Automatic
Toyota,Corolla,Lahore,11.8,2005,"185,000",Petrol,1300,Manual
Toyota,Prado,Lahore,1.2,2011,"88,000",Petrol,2700,Automatic
Toyota,Corolla,Islamabad,30.2,2019,"90,000",Petrol,1300,Automatic
Toyota,Surf,Karachi,32,1997,"120,000",Diesel,3000,Automatic
Toyota,Corolla,Lahore,27.25,2015,"130,000",Petrol,1800,Automatic
Toyota,Vitz,Islamabad,26.1,2018,"38,000",Petrol,1000,Automatic
Toyota,Vitz,Islamabad,27.1,2018,"45,000",Petrol,1000,Automatic
Toyota,Prado,Islamabad,23.99,1997,"154,000",Petrol,3400,Automatic
Toyota,Prado,Islamabad,49.5,1998,"112,300",Petrol,3400,Automatic
Toyota,Corolla,Islamabad,30.2,2019,"89,000",Petrol,1300,Manual
Toyota,Belta,Karachi,,2009,"63,000",Petrol,1500,Automatic
Toyota,Surf,Rawalpindi,20.5,1994,"150,000",Petrol,2400,Manual
Toyota,Vitz,Faisalabad,21.4,2014,"90,500",Petrol,1000,Automatic
Toyota,Prado,Islamabad,1.4,2011,"53,000",Petrol,2700,Automatic
Toyota,Land,Islamabad,33,1989,"13,000",Diesel,4200,Automatic
Toyota,Corolla,Gujranwala,18,2012,"107,000",Petrol,1300,Manual
Toyota,Fortuner,Kamalia,88,2019,"34,000",Petrol,2700,Automatic
Toyota,Corolla,D.G.Khan,38.5,2018,"51,000",Petrol,1800,Automatic
Toyota,Corolla,Lahore,32,2015,"88,000",Petrol,1800,Automatic
Toyota,Vitz,Faisalabad,11,1999,"200,000",Petrol,1000,Automatic
Toyota,Passo,Islamabad,19.8,2015,"75,000",Petrol,1000,Automatic
Toyota,Prius,Lahore,24.5,2011,"124,000",Hybrid,1800,Automatic
Toyota,C,Karachi,58,2018,"59,000",Petrol,1800,Automatic
Toyota,Corolla,Lahore,32,2015,"88,000",Petrol,1800,Automatic
Toyota,Passo,Lahore,17,2014,"121,000",Petrol,1000,Automatic
Toyota,Corolla,Rawalpindi,14,2007,"95,000",Petrol,1300,Manual
Toyota,Land,Peshawar,30,1995,"300,000",Diesel,3000,Automatic
Toyota,Passo,Faisalabad,24.25,2017,"57,000",Petrol,1000,Automatic
